,svc_name,my_span_id,parent_span_id,trace_id,cluster_id,load,last_load,avg_load,rps,st,et,rt,xt,ct,child_spans,critical_child_spans,call_size,depth
85,reviews-v3,229dd66f,b3daf0ef,1d773fea8bebb6f0b3daf0eff9f2df37,0,1,1,1,0,24,30,6,5,5,[<span.Span object at 0x7f2f357e2df0>],[<span.Span object at 0x7f2f357e2df0>],20,2
86,details-v1,4cc8a8ed,b3daf0ef,1d773fea8bebb6f0b3daf0eff9f2df37,0,1,1,1,0,10,12,2,2,2,[],[],20,2
87,ratings-v1,ea230ec1,229dd66f,1d773fea8bebb6f0b3daf0eff9f2df37,0,1,1,1,0,27,28,1,1,1,[],[],30,3
88,productpage-v1,2dafb229,,1a5ef52b2422a7212dafb2297899e278,0,4,2,3,0,0,44,44,37,37,"[<span.Span object at 0x7f2f357caa00>, <span.Span object at 0x7f2f357ca910>]","[<span.Span object at 0x7f2f357caa00>, <span.Span object at 0x7f2f357ca910>]",10,1
89,reviews-v3,613a50c9,2dafb229,1a5ef52b2422a7212dafb2297899e278,0,2,1,1,0,31,37,6,4,4,[<span.Span object at 0x7f2f357ca8e0>],[<span.Span object at 0x7f2f357ca8e0>],20,2
90,details-v1,97d5b125,2dafb229,1a5ef52b2422a7212dafb2297899e278,0,1,1,1,0,18,19,1,1,1,[],[],20,2
91,ratings-v1,601d2cae,613a50c9,1a5ef52b2422a7212dafb2297899e278,0,1,1,1,0,33,35,2,2,2,[],[],30,3
92,reviews-v3,36fc16f6,6e8d3375,d3434236511bf31c6e8d3375c1b05cc1,0,1,1,1,0,60,64,4,4,4,[<span.Span object at 0x7f2f3583eeb0>],[<span.Span object at 0x7f2f3583eeb0>],20,2
93,details-v1,0038b295,6e8d3375,d3434236511bf31c6e8d3375c1b05cc1,0,1,1,1,0,38,40,2,2,2,[],[],20,2
94,ratings-v1,0fc37469,36fc16f6,d3434236511bf31c6e8d3375c1b05cc1,0,1,1,1,0,62,62,0,0,0,[],[],30,3
95,productpage-v1,6e8d3375,,d3434236511bf31c6e8d3375c1b05cc1,0,6,4,5,0,0,76,76,70,70,"[<span.Span object at 0x7f2f3583e130>, <span.Span object at 0x7f2f3583efd0>]","[<span.Span object at 0x7f2f3583e130>, <span.Span object at 0x7f2f3583efd0>]",10,1
96,productpage-v1,092d3dcd,,709ac28066c87e00092d3dcd79e7eeb9,0,3,4,3,0,0,39,39,29,29,"[<span.Span object at 0x7f2f35826490>, <span.Span object at 0x7f2f35826460>]","[<span.Span object at 0x7f2f35826490>, <span.Span object at 0x7f2f35826460>]",10,1
97,reviews-v3,1ff68e0e,092d3dcd,709ac28066c87e00092d3dcd79e7eeb9,0,1,1,1,0,25,31,6,5,5,[<span.Span object at 0x7f2f358264c0>],[<span.Span object at 0x7f2f358264c0>],20,2
98,details-v1,19286ee1,092d3dcd,709ac28066c87e00092d3dcd79e7eeb9,0,1,1,1,0,11,15,4,4,4,[],[],20,2
99,ratings-v1,08be5a51,1ff68e0e,709ac28066c87e00092d3dcd79e7eeb9,0,1,1,1,0,29,30,1,1,1,[],[],30,3
100,details-v1,940f17ec,c0e495e5,dfce7901db7419fac0e495e50153f15d,0,1,1,1,0,7,9,2,2,2,[],[],20,2
